ligando,BE
./Output/lig_optjesus_mol1.log,-5.0
./Output/lig_optpira2_11_mol1002.log,-10.1
./Output/lig_optpira2_11_mol1473.log,-10.1
./Output/lig_optpira2_11_mol2464.log,-10.0
./Output/lig_optpira2_4_mol1451.log,-10.2
./Output/lig_optpira2_5_edit_mol1122.log,-10.2
./Output/lig_optpira2_5_edit_mol1451.log,-10.2
./Output/lig_optpira2_6_mol1122.log,-10.2
./Output/lig_optpira2_6_mol1451.log,-10.2
./Output/lig_optpira2_6_mol2164.log,-10.1
./Output/lig_optpira3_1_mol1002.log,-10.1
./Output/lig_optpira3_1_mol1122.log,-10.1
./Output/lig_optpira3_1_mol1473.log,-10.4
./Output/lig_optpira3_4_mol1451.log,-10.1
./Output/lig_optpira3_5_edit_mol1122.log,-10.0
./Output/lig_optpira3_5_edit_mol1451.log,-10.0
./Output/lig_optpira3_6_edit_mol1122.log,-10.1
./Output/lig_optpira3_6_edit_mol1451.log,-10.2
./Output/lig_optpira3_6_edit_mol2164.log,-10.0
./Output/lig_optpira4_1_mol1002.log,-10.5
./Output/lig_optpira4_1_mol1122.log,-10.1
./Output/lig_optpira4_1_mol1355.log,-10.0
./Output/lig_optpira4_1_mol1451.log,-10.1
./Output/lig_optpira4_1_mol1683.log,-10.0
./Output/lig_optpira4_1_mol2464.log,-10.3
./Output/lig_optpira4_1_mol3101.log,-10.0
./Output/lig_optpira4_1_mol767.log,-10.2
./Output/lig_optpira4_2_edit_mol1122.log,-10.0
./Output/lig_optpira4_2_edit_mol3014.log,-10.0
./Output/lig_optpira4_2_edit_mol554.log,-10.0
./Output/lig_optpira4_3_edit_mol2813.log,-10.0
./Output/lig_optpira4_3_edit_mol918.log,-10.1
./Output/lig_optpira4_4_edit_mol1122.log,-10.1
./Output/lig_optpira4_4_edit_mol1451.log,-10.3
./Output/lig_optpira4_4_edit_mol918.log,-10.1
./Output/lig_optpira4_5_mol1122.log,-10.3
./Output/lig_optpira4_5_mol1447.log,-10.0
./Output/lig_optpira4_5_mol1451.log,-10.4
./Output/lig_optpira4_5_mol2164.log,-10.2
./Output/lig_optpira4_5_mol2396.log,-10.1
./Output/lig_optpira4_5_mol2677.log,-10.1
./Output/lig_optpira4_5_mol3101.log,-10.0
./Output/lig_optpira4_5_mol918.log,-10.1
./Output/lig_optpira4_6_edit_mol1122.log,-10.4
./Output/lig_optpira4_6_edit_mol1451.log,-10.1
./Output/lig_optpira4_6_edit_mol2164.log,-10.3
./Output/lig_optpira4_6_edit_mol2464.log,-10.1
./Output/lig_optpira4_6_edit_mol2737.log,-10.0
./Output/lig_optpira4_6_edit_mol3101.log,-10.1
./Output/lig_optpira4_6_edit_mol767.log,-10.0
